emp_id,name,department,salary,experience,city
1,Employee_1,IT,31236,9,Pune
2,Employee_2,QA,68824,5,Chennai
3,Employee_3,QA,116297,9,Hyderabad
4,Employee_4,IT,112111,3,Hyderabad
5,Employee_5,QA,115720,12,Chennai
6,Employee_6,HR,74445,1,Chennai
7,Employee_7,Sales,32413,4,Bangalore
8,Employee_8,Sales,51987,3,Pune
9,Employee_9,QA,83292,9,Chennai
10,Employee_10,HR,50914,12,Bangalore
11,Employee_11,QA,109796,3,Chennai
12,Employee_12,Sales,102160,2,Hyderabad
13,Employee_13,Finance,50763,3,Hyderabad
14,Employee_14,HR,40983,12,Bangalore
15,Employee_15,IT,72051,10,Pune
16,Employee_16,IT,83202,10,Pune
17,Employee_17,HR,98692,3,Bangalore
18,Employee_18,Sales,71478,3,Chennai
19,Employee_19,IT,50488,12,Chennai
20,Employee_20,Sales,116977,4,Hyderabad
